at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
CAN SADİ,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/05-09-2025/izmir/5/sonuclar?kosu=141768&at=99706,2.30.83,2,CEVHER CANT,2.30.35,"3,35",2400,Çim
HANÖMER,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/01-09-2025/bursa/4/sonuclar?kosu=141768&at=100280,1.13.56,1,HANÖMER,1.13.56,"6,50",1200,Kum
POWER SPEED,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141768&at=99367,1.28.56,1,POWER SPEED,1.28.56,"2,05",1400,Kum
PAKSUHAN,,20250926,bursa,6,bursa_atlari_20250926.json,https://yenibeygir.com/01-09-2025/bursa/1/sonuclar?kosu=141768&at=100981,2.02.97,7,MULTIVERSE,1.58.97,"11,30",1800,Kum
ASLAN HATİP,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/kocaeli/6/sonuclar?kosu=141772&at=101357,1.35.90,2,SÜPER SONİK,1.35.52,"5,50",1400,Kum
SADIK AĞANIN OĞLU,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/18-09-2025/izmir/6/sonuclar?kosu=141772&at=102091,1.37.44,1,SADIK AĞANIN OĞLU,1.37.44,"1,45",1400,Kum
FERMAN YAZAR,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/6/sonuclar?kosu=141772&at=101610,1.41.49,6,ÖZMEN BEY,1.39.95,"1,80",1500,Kum
GÖREME BEYİ,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/7/sonuclar?kosu=141772&at=101482,1.39.08,1,GÖREME BEYİ,1.39.08,"9,10",1400,Kum
OĞUL FATİH,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/22-08-2025/bursa/6/sonuclar?kosu=141772&at=102405,1.18.37,4,TUMBULİSMET,1.17.81,"3,10",1200,Çim
DEMİRYİĞİT,,20250926,bursa,7,bursa_atlari_20250926.json,https://yenibeygir.com/18-08-2025/bursa/4/sonuclar?kosu=141772&at=103838,1.31.33,1,DEMİRYİĞİT,1.31.33,"4,10",1300,Kum
